question_id,subject,question,focus,type,answer
Q1,,"Literature on Cardiac amyloidosis.  Please let me know where I can get literature on Cardiac amyloidosis.  My uncle died yesterday from this disorder.  Since this is such a rare disorder, and to honor his memory, I would like to distribute literature at his funeral service.  I am a retired NIH employee, so I am familiar with the campus in case you have literature at NIH that I can come and pick up.  Thank you ",cardiac amyloidosis,information,Cardiac amyloidosis is a disorder caused by deposits of an abnormal protein (amyloid) in the heart tissue. These deposits make it hard for the heart to work properly.
Q1,,"Literature on Cardiac amyloidosis.  Please let me know where I can get literature on Cardiac amyloidosis.  My uncle died yesterday from this disorder.  Since this is such a rare disorder, and to honor his memory, I would like to distribute literature at his funeral service.  I am a retired NIH employee, so I am familiar with the campus in case you have literature at NIH that I can come and pick up.  Thank you ",cardiac amyloidosis,information,"The term ""amyloidosis"" refers not to a single disease but to a collection of diseases in which a protein-based infiltrate deposits in tissues as beta-pleated sheets. The subtype of the disease is determined by which protein is depositing; although dozens of subtypes have been described, most are incredibly rare or of trivial importance. This analysis will focus on the main systemic forms of amyloidosis, both of which frequently involve the heart."
Q2,treatment options versus migraine types,"Migraine seems to be a spectrum of conditions rather than only one easily diagnosed affliction.  Many innovative migraine treatments are now in use, but it seems that each treatment only addresses a narrow set of conditions; for example, my daughter has tried many different treatment options (QEEG, HEG, TMS, topamax, ...) without success.  Has any research been done to characterize which treatment types are effective against which migraine types?",migraine,treatment,"There is no specific cure for migraine headaches. The goal is to treat your migraine symptoms right away, and to prevent symptoms by avoiding or changing your triggers.   A key step is learning how to manage your migraines at home. A headache diary can help you identify your headache triggers. Then you and your doctor can plan how to avoid these triggers.  If you have frequent migraines, your doctor may prescribe medicine to reduce the number of attacks. You need to take the medicine every day for it to be effective. Medicines may include:  - Antidepressants  - Blood pressure medicines  - Seizure medicines    Botulinum toxin type A (Botox) injections may also help reduce migraine attacks if they occur more than 15 days a month.  Some people find relief with minerals and vitamins. Check with your doctor to see if riboflavin or magnesium are right for you.  TREATING AN ATTACK  Other medicines are taken at the first sign of a migraine attack. Over-the-counter (OTC) pain medicines, such as acetaminophen, ibuprofen, or aspirin are often helpful when your migraine is mild. Be aware that:   - Taking medicines more than 3 days a week may lead to rebound headaches. These are headaches that keep coming back due to overuse of pain medicine.  - Taking too much acetaminophen can damage your liver.  - Too much ibuprofen or aspirin can irritate your stomach or kidneys.    If these treatments do not help, ask your doctor about prescription medicines. These include nasal sprays, suppositories, or injections.   Some migraine medicines narrow the blood vessels. If you are at risk for having a heart attack or have heart disease, talk with your doctor before using these medicines. Some migraine medicines should not be used by pregnant women. Talk with your doctor about which medicine is right for you if you are pregnant or planning to become pregnant.  Other medicines treat symptoms of migraine, such as nausea and vomiting. They may be used alone or along with the other drugs that treat the migraine itself.   Feverfew is a herb for migraines. It can be effective for some people. Before using feverfew, make sure your doctor approves. Herbal remedies sold in drugstores and health food stores are not regulated. Work with a trained herbalist when selecting herbs."
Q2,treatment options versus migraine types,"Migraine seems to be a spectrum of conditions rather than only one easily diagnosed affliction.  Many innovative migraine treatments are now in use, but it seems that each treatment only addresses a narrow set of conditions; for example, my daughter has tried many different treatment options (QEEG, HEG, TMS, topamax, ...) without success.  Has any research been done to characterize which treatment types are effective against which migraine types?",migraine,treatment,"There is no absolute cure for migraine since its pathophysiology has yet to be fully understood.  There are two ways to approach the treatment of migraine headache with drugs: prevent the attacks, or relieve the symptoms during the attacks. Prevention involves the use of medications and behavioral changes.  Drugs originally developed for epilepsy, depression, or high blood pressure to prevent future attacks have been shown to be extremely effective in treating migraine. Botulinum toxin A has been shown to be effective in prevention of chronic migraine.  Behaviorally, stress management strategies, such as exercise, relaxation techniques, biofeedback mechanisms, and other therapies designed to limit daily discomfort, may reduce the number and severity of migraine attacks.  Making a log of personal triggers of migraine can also provide useful information for trigger-avoiding lifestyle changes, including dietary considerations, eating regularly scheduled meals with adequate hydration, stopping certain medications, and establishing a consistent sleep schedule. Hormone therapy may help some women whose migraines seem to be linked to their menstrual cycle. A weight loss program is recommended for obese individuals with migraine.                  Relief of symptoms, or acute treatments, during attacks consists of sumatriptan, ergotamine drugs, and analgesics such as ibuprofen and aspirin.  The sooner these treatments are administered, the more effective they are."
Q3,,DO I USE PYRIDOXINE TABLETS EVEN IF IM PREGNANT?,pyridoxine,contraindication,"Before taking pyridoxine,        tell your doctor and pharmacist if you are allergic to pyridoxine or any other drugs.      tell your doctor and pharmacist what prescription and nonprescription medications you are taking, especially levodopa (Larodopa, Sinemet), phenobarbital, phenytoin (Dilantin), and other vitamins.      tell your doctor if you are pregnant, plan to become pregnant, or are breast-feeding. If you become pregnant while taking pyridoxine, call your doctor."
Q4,cramp,i have lymphoma what causes cramp after chemo treatment,cramp,cause,"Muscle cramps are common and often occur when a muscle is overused or injured. Working out when you have not had enough fluids (dehydration) or when you have low levels of minerals such as potassium or calcium can also make you more likely to have a muscle spasm.  Muscle cramps can occur while you play tennis or golf, bowl, swim, or do any other exercise.   They can also be triggered by:  - Alcoholism  - Hypothyroidism (underactive thyroid)  - Kidney failure  - Medications  - Menstruation  - Pregnancy"
Q5,Retina,I wonder of new research and testing on macular degeneration and the opportunity to be part of this process.,macular degeneration,treatment,"These resources address the diagnosis or management of age-related macular degeneration:  - BrightFocus Foundation: Macular Degeneration Treatment  - Genetic Testing Registry: Age-related macular degeneration  - Genetic Testing Registry: Age-related macular degeneration 1  - Genetic Testing Registry: Age-related macular degeneration 10  - Genetic Testing Registry: Age-related macular degeneration 11  - Genetic Testing Registry: Age-related macular degeneration 2  - Genetic Testing Registry: Age-related macular degeneration 3  - Genetic Testing Registry: Age-related macular degeneration 4  - Genetic Testing Registry: Age-related macular degeneration 7  - Genetic Testing Registry: Age-related macular degeneration 9  - Genetic Testing Registry: Susceptibility to age-related macular degeneration, wet type  - Genetic Testing Registry: Susceptibility to neovascular type of age-related macular degeneration  - Macular Degeneration Partnership: Low Vision Rehabilitation  - Prevent Blindness America: Age-Related Macular Degeneration (AMD) Test - Amsler Grid   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care"
Q6,hypothyroidism,Can you please send me as much information as possible on &quot;hypothyroidism&quot;. I was recently diagnosed with the disease and I am struggling to figure out what it is and how I got it. My name and address is: [NAME] [LOCATION] [CONTACT] Thank you in advance for your help!!!,hypothyroidism,information,Hypothyroidism is a condition in which the thyroid gland does not make enough thyroid hormone. This condition is often called underactive thyroid.
Q6,hypothyroidism,Can you please send me as much information as possible on &quot;hypothyroidism&quot;. I was recently diagnosed with the disease and I am struggling to figure out what it is and how I got it. My name and address is: [NAME] [LOCATION] [CONTACT] Thank you in advance for your help!!!,hypothyroidism,information,"Summary       Your thyroid is a butterfly-shaped gland in your neck, just above your collarbone. It is one of your endocrine glands, which make hormones. Thyroid hormones control the rate of many activities in your body. These include how fast you burn calories and how fast your heart beats. All of these activities are your body's metabolism. If your thyroid gland is not active enough, it does not make enough thyroid hormone to meet your body's needs. This condition is hypothyroidism.    Hypothyroidism is more common in women, people with other thyroid problems, and those over 60 years old. Hashimoto's disease, an autoimmune disorder, is the most common cause. Other causes include thyroid nodules, thyroiditis, congenital hypothyroidism, surgical removal of part or all of the thyroid, radiation treatment of the thyroid, and some medicines.    The symptoms can vary from person to person. They may include       - Fatigue    - Weight gain    - A puffy face    - Cold intolerance    - Joint and muscle pain    - Constipation    - Dry skin    - Dry, thinning hair    - Decreased sweating    - Heavy or irregular menstrual periods and fertility problems    - Depression    - Slowed heart rate       To diagnose hypothyroidism, your doctor will look at your symptoms and blood tests. Treatment is with synthetic thyroid hormone, taken every day.    NIH: National Institute of Diabetes and Digestive and Kidney Diseases"
Q6,hypothyroidism,Can you please send me as much information as possible on &quot;hypothyroidism&quot;. I was recently diagnosed with the disease and I am struggling to figure out what it is and how I got it. My name and address is: [NAME] [LOCATION] [CONTACT] Thank you in advance for your help!!!,hypothyroidism,information,"Hypothyroidism is a disorder that occurs when the thyroid gland does not make enough thyroid hormone to meet the body’s needs.  Thyroid hormone regulates metabolism—the way the body uses energy—and affects nearly every organ in the body. Without enough thyroid hormone, many of the body’s functions slow down.  About 4.6 percent of the U.S. population age 12 and older has hypothyroidism.1"
